race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2010_04,webber,3,101.633,88.358,13.114345605735217,1.6666666666666667,54.333333333333336
2010_04,massa,3,102.351,89.537,12.743040531992351,5.666666666666667,54.333333333333336
2010_04,michael_schumacher,3,103.82433333333334,89.185,12.723106547625157,10.0,38.666666666666664
2010_04,sutil,3,106.92533333333331,98.16,9.055036400933034,10.0,38.0
2010_04,barrichello,3,102.82366666666667,89.21000000000001,12.730277460535655,7.666666666666667,54.0
2010_04,alguersuari,3,103.05533333333334,89.713,12.60475572507809,10.666666666666666,54.333333333333336
2010_04,kovalainen,3,106.34666666666665,93.638,12.141736732810871,16.0,49.666666666666664
2010_04,hulkenberg,3,,99.124,11.1385,13.0,52.0
2010_04,bruno_senna,3,127.24566666666668,105.334,17.17434913533035,21.333333333333332,24.333333333333332
2010_04,chandhok,3,,,4.872500000000002,18.5,35.666666666666664
2010_04,trulli,3,,103.753,9.588500000000003,19.0,48.5
2010_04,grassi,3,109.73066666666666,96.607,14.141161252017296,19.333333333333332,27.0
2010_04,rosa,3,,90.587,15.531500000000001,14.0,43.0
2010_04,buemi,3,,97.61,11.235,6.5,51.0
2010_04,kobayashi,3,,103.34,10.851999999999997,19.5,9.5
2010_04,liuzzi,3,104.06166666666667,89.685,12.381242380669596,10.666666666666666,39.666666666666664
2010_04,glock,3,109.22666666666667,94.23,13.553070435226925,19.666666666666668,19.666666666666668
2010_05,webber,3,96.007,88.358,5.864861862539187,1.6666666666666667,56.666666666666664
2010_05,alonso,3,97.024,89.707,5.891616586302951,7.0,56.0
2010_05,vettel,3,97.24233333333332,91.556,4.428321452750343,7.0,45.666666666666664
2010_05,michael_schumacher,3,98.52233333333334,89.185,6.664072545290071,9.666666666666666,41.0
2010_05,button,3,96.89266666666667,89.291,5.665454282069729,6.666666666666667,56.666666666666664
2010_05,massa,3,97.305,89.537,6.156318867635101,8.333333333333334,56.666666666666664
2010_05,sutil,3,101.91566666666665,98.16,2.696200330506292,13.0,40.333333333333336
2010_05,kubica,3,97.09133333333334,89.57,5.781875435838753,7.0,56.666666666666664
2010_05,barrichello,3,98.06566666666667,89.21000000000001,6.74361002892532,10.333333333333334,56.333333333333336
2010_05,alguersuari,3,97.65233333333333,89.713,5.877893575838959,10.333333333333334,56.666666666666664
2010_05,petrov,3,102.54199999999999,100.693,1.335662382490428,13.333333333333334,32.333333333333336
2010_05,kobayashi,3,,,0.0,19.0,8.0
2010_05,rosberg,3,96.621,88.489,6.117757323289856,5.0,56.666666666666664
2010_05,hamilton,3,96.104,88.506,5.654152869057106,2.6666666666666665,56.666666666666664
2010_05,liuzzi,3,,89.685,6.454499999999996,12.5,35.0
2010_05,hulkenberg,3,,,2.7125000000000057,11.5,55.5
2010_05,trulli,3,,,2.9609999999999985,19.5,38.5
2010_05,glock,3,,94.23,6.079000000000001,19.0,21.5
2010_05,grassi,3,104.33866666666667,96.607,6.813681449032447,18.333333333333332,29.0
2010_05,buemi,3,,,0.0,3.0,56.0
2010_05,chandhok,3,102.87433333333333,95.045,5.771761506584353,18.333333333333332,52.666666666666664
2010_05,rosa,3,,90.587,8.576,14.0,32.5
2010_05,bruno_senna,3,120.27533333333334,105.334,19.128573414891374,19.666666666666668,36.666666666666664
2010_05,kovalainen,3,101.16000000000001,93.638,5.619238560516894,15.333333333333334,52.333333333333336
2010_06,webber,3,94.83033333333333,84.828,7.427404676077787,2.0,59.333333333333336
2010_06,vettel,3,95.11566666666666,85.176,7.269203823130992,4.333333333333333,59.333333333333336
2010_06,kubica,3,95.72333333333334,85.46600000000001,7.59942758078235,6.666666666666667,59.333333333333336
2010_06,massa,3,95.95833333333333,85.497,7.902474141403788,9.0,59.333333333333336
2010_06,hamilton,3,94.721,84.357,7.537299958650094,2.0,58.666666666666664
2010_06,alonso,3,95.40366666666667,84.846,7.979603011567818,4.666666666666667,58.666666666666664
2010_06,rosberg,3,95.60966666666667,85.455,7.478025823853663,6.333333333333333,59.0
2010_06,sutil,3,96.123,85.845,7.696335361715992,11.0,59.333333333333336
2010_06,liuzzi,3,,85.924,8.334999999999994,15.0,38.0
2010_06,buemi,3,,86.724,5.442999999999998,9.5,49.0
2010_06,alguersuari,3,96.29966666666667,85.655,7.725774409224114,10.333333333333334,59.0
2010_06,michael_schumacher,3,97.30366666666667,85.529,8.374864390278544,11.666666666666666,43.666666666666664
2010_06,petrov,3,96.65466666666667,85.47,8.009889401372671,10.0,51.0
2010_06,chandhok,3,101.873,92.041,7.141296287556391,20.333333333333332,44.0
2010_06,trulli,3,100.99733333333332,89.564,8.438339265255669,19.0,46.666666666666664
2010_06,kovalainen,3,,102.701,2.220000000000006,16.0,50.5
2010_06,bruno_senna,3,,105.334,1.4409999999999954,19.5,53.0
2010_06,barrichello,3,96.90500000000002,85.72800000000001,8.290206551508025,12.666666666666666,58.666666666666664
2010_06,kobayashi,3,,86.083,8.628500000000003,17.0,36.5
2010_06,grassi,3,102.10433333333333,89.904,9.537346952317973,19.333333333333332,41.0
2010_06,glock,3,,89.776,8.306000000000004,21.0,32.5
2010_06,rosa,3,,,8.664000000000001,18.5,12.5
2010_06,button,3,95.51766666666667,85.166,7.535463194492795,6.0,59.333333333333336
2010_06,hulkenberg,3,96.84533333333333,86.863,7.397877638590381,13.333333333333334,58.333333333333336
2010_07,hamilton,3,87.54566666666666,76.219,10.788201497726842,4.0,66.0
2010_07,button,3,107.44566666666667,85.166,20.310292306009668,10.333333333333334,41.333333333333336
2010_07,webber,3,87.585,75.318,11.310775304991253,2.3333333333333335,66.66666666666667
2010_07,michael_schumacher,3,88.469,75.58,11.90696101726493,8.333333333333334,66.66666666666667
2010_07,rosberg,3,88.21966666666667,75.959,11.309700418470667,6.0,66.33333333333333
2010_07,kubica,3,88.14966666666668,75.353,11.69896668751371,5.333333333333333,66.66666666666667
2010_07,massa,3,88.53133333333334,75.503,12.068608158726873,8.666666666666666,66.66666666666667
2010_07,alonso,3,88.295,75.905,11.779666407274302,6.0,66.66666666666667
2010_07,sutil,3,88.724,75.963,11.772019962606253,10.666666666666666,66.66666666666667
2010_07,kobayashi,3,,,3.6539999999999964,15.0,45.5
2010_07,rosa,3,92.47333333333334,79.27,11.713550680965854,18.0,15.333333333333334
2010_07,alguersuari,3,88.597,76.381,11.367365335321402,9.666666666666666,66.33333333333333
2010_07,liuzzi,3,,,4.891000000000005,11.5,71.0
2010_07,barrichello,3,90.12033333333333,79.074,11.249688894463802,14.0,50.333333333333336
2010_07,petrov,3,88.55866666666668,76.405,11.395616125900736,9.333333333333334,64.66666666666667
2010_07,buemi,3,,,5.115500000000004,14.5,60.0
2010_07,hulkenberg,3,,86.863,8.843000000000004,14.5,59.5
2010_07,glock,3,,,4.500499999999995,20.0,42.5
2010_07,grassi,3,95.11466666666666,82.255,13.153694293070508,20.666666666666668,31.666666666666668
2010_07,chandhok,3,93.46066666666667,79.553,11.977281169874164,19.666666666666668,49.666666666666664
2010_07,bruno_senna,3,,80.13,14.043,18.5,56.0
2010_07,vettel,3,87.57533333333333,75.19200000000001,11.219491650199169,2.6666666666666665,66.66666666666667
2010_07,kovalainen,3,,78.401,14.370000000000005,14.5,56.5
2010_07,trulli,3,92.85966666666666,79.34,12.601563932923385,18.333333333333332,53.0
2010_08,hamilton,3,83.55033333333334,76.219,5.685374061767815,7.666666666666667,66.66666666666667
2010_08,button,3,103.11533333333334,85.166,22.12467627384008,11.333333333333334,42.0
2010_08,alonso,3,83.58733333333333,75.905,5.827119948043705,6.666666666666667,67.33333333333333
2010_08,vettel,3,83.51633333333332,75.19200000000001,6.230751711381929,6.333333333333333,61.0
2010_08,webber,3,83.11366666666667,75.318,5.79350132092464,2.0,67.33333333333333
2010_08,rosberg,3,83.797,75.959,5.841678069413502,7.333333333333333,67.0
2010_08,kubica,3,83.46633333333334,75.353,5.977785673270294,4.666666666666667,67.33333333333333
2010_08,buemi,3,84.26833333333333,76.493,5.620941815113273,11.333333333333334,59.0
2010_08,liuzzi,3,84.49566666666668,76.142,6.318863945010655,13.666666666666666,66.33333333333333
2010_08,sutil,3,83.92233333333333,75.963,5.873357321176898,9.666666666666666,67.33333333333333
2010_08,michael_schumacher,3,83.63966666666666,75.58,5.961007204230582,7.0,67.33333333333333
2010_08,alguersuari,3,83.857,76.381,5.5185464269739235,8.333333333333334,67.0
2010_08,hulkenberg,3,,86.863,1.8785000000000025,16.0,60.5
2010_08,barrichello,3,85.245,79.074,4.8534480526734844,15.0,50.666666666666664
2010_08,massa,3,83.66533333333332,75.503,6.0568426501675665,7.666666666666667,67.33333333333333
2010_08,kovalainen,3,,,7.981000000000002,18.0,45.5
2010_08,petrov,3,83.67999999999999,76.405,5.360813060223853,7.0,65.0
2010_08,chandhok,3,88.72633333333333,79.553,6.569145927913476,21.666666666666668,49.666666666666664
2010_08,grassi,3,88.472,82.255,4.604271133053167,20.666666666666668,47.333333333333336
2010_08,glock,3,87.60533333333332,80.775,4.935508777105848,19.666666666666668,46.666666666666664
2010_08,trulli,3,87.78899999999999,79.34,6.300224916620036,19.666666666666668,55.0
2010_08,rosa,3,86.70066666666666,79.27,5.254276374746789,17.333333333333332,32.333333333333336
2010_08,bruno_senna,3,,,7.058500000000002,20.5,52.0
2010_08,kobayashi,3,85.24966666666667,78.775,4.981311563121593,15.333333333333334,49.666666666666664
2010_09,vettel,3,81.26333333333334,75.19200000000001,6.441725458981378,7.333333333333333,62.333333333333336
2010_09,hamilton,3,81.36666666666666,76.219,6.1917118975467735,8.0,68.66666666666667
2010_09,button,3,100.77466666666668,78.144,24.176136034436013,11.333333333333334,43.333333333333336
2010_09,barrichello,3,83.06066666666668,79.074,5.566732993616837,14.333333333333334,52.0
2010_09,kubica,3,80.635,75.353,6.359510410925251,2.6666666666666665,68.66666666666667
2010_09,sutil,3,81.81733333333334,75.963,5.938345691819869,9.666666666666666,68.33333333333333
2010_09,kobayashi,3,,78.775,6.058,15.5,28.333333333333332
2010_09,alonso,3,81.37433333333333,75.905,6.1789324500452505,7.666666666666667,68.66666666666667
2010_09,buemi,3,81.955,76.493,5.5620551956987985,11.0,68.0
2010_09,rosberg,3,81.256,75.959,6.213904462306021,6.333333333333333,68.66666666666667
2010_09,massa,3,81.27466666666668,75.503,6.273604085549405,7.0,68.33333333333333
2010_09,rosa,3,83.42166666666667,79.27,4.977824446705837,16.0,36.666666666666664
2010_09,alguersuari,3,81.91933333333333,76.381,5.567370075318825,10.0,68.33333333333333
