race_id,fastf1_race_control_available,fastf1_race_control_messages_count,fastf1_safety_car_count,fastf1_virtual_safety_car_count,fastf1_red_flag_count,fastf1_yellow_flag_count,fastf1_double_yellow_count,fastf1_black_flag_count,fastf1_track_limits_count,fastf1_investigation_count,fastf1_penalty_count,fastf1_incident_count,fastf1_drs_disabled_count,fastf1_deleted_lap_count,fastf1_slippery_track_count,fastf1_clear_count,fastf1_race_disruption_score
2022_06,1,111.0,0.0,0.0,1.0,7.0,1.0,2.0,19.0,5.0,2.0,9.0,1.0,16.0,0.0,7.0,23.0
2022_07,1,168.0,1.0,1.0,3.0,15.0,4.0,2.0,17.0,3.0,2.0,17.0,2.0,14.0,10.0,26.0,62.0
2022_08,1,79.0,0.0,2.0,1.0,12.0,7.0,0.0,0.0,4.0,2.0,7.0,1.0,0.0,2.0,13.0,44.0
2022_09,1,78.0,1.0,2.0,1.0,3.0,0.0,1.0,8.0,5.0,1.0,12.0,2.0,8.0,1.0,7.0,30.0
2022_10,1,66.0,1.0,0.0,2.0,7.0,2.0,1.0,10.0,13.0,1.0,15.0,2.0,8.0,1.0,9.0,40.0
2022_11,1,167.0,0.0,1.0,1.0,6.0,3.0,8.0,82.0,15.0,8.0,17.0,1.0,65.0,0.0,6.0,37.0
2022_12,1,97.0,1.0,2.0,1.0,24.0,12.0,0.0,10.0,12.0,3.0,16.0,1.0,10.0,2.0,19.0,79.0
2022_13,1,153.0,0.0,2.0,1.0,7.0,2.0,0.0,15.0,6.0,1.0,17.0,2.0,14.0,1.0,9.0,39.0
2022_14,1,44.0,1.0,0.0,1.0,7.0,5.0,0.0,5.0,6.0,1.0,7.0,1.0,5.0,2.0,8.0,33.0
2022_15,1,105.0,1.0,1.0,1.0,10.0,1.0,0.0,7.0,13.0,3.0,14.0,1.0,7.0,2.0,11.0,38.0
2022_16,1,61.0,1.0,1.0,1.0,4.0,2.0,1.0,15.0,3.0,1.0,3.0,1.0,14.0,0.0,5.0,23.0
2022_17,1,134.0,2.0,3.0,1.0,30.0,20.0,0.0,0.0,12.0,0.0,17.0,1.0,0.0,0.0,29.0,109.0
2022_18,1,41.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,9.0,1.0,10.0,1.0,0.0,0.0,4.0,30.0
2022_19,1,104.0,2.0,0.0,1.0,13.0,4.0,6.0,38.0,21.0,7.0,26.0,1.0,30.0,1.0,8.0,60.0
2022_20,1,81.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,2.0,6.0,1.0,2.0,0.0,3.0,18.0
2022_21,1,59.0,2.0,1.0,0.0,4.0,2.0,0.0,5.0,12.0,3.0,14.0,1.0,5.0,0.0,5.0,33.0
2022_22,1,90.0,0.0,0.0,1.0,1.0,1.0,2.0,28.0,10.0,2.0,12.0,1.0,25.0,0.0,1.0,20.0
2023_01,1,73.0,0.0,1.0,1.0,4.0,0.0,2.0,26.0,12.0,7.0,14.0,1.0,17.0,1.0,6.0,26.0
2023_02,1,56.0,1.0,0.0,1.0,5.0,2.0,2.0,17.0,6.0,4.0,7.0,1.0,17.0,2.0,5.0,25.0
2023_03,1,103.0,3.0,1.0,5.0,12.0,4.0,0.0,1.0,13.0,1.0,13.0,1.0,1.0,3.0,18.0,73.0
2023_04,1,52.0,1.0,0.0,1.0,12.0,5.0,0.0,2.0,6.0,0.0,6.0,1.0,1.0,1.0,11.0,37.0
2023_05,1,38.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,6.0,1.0,6.0,1.0,7.0,1.0,3.0,15.0
2023_06,1,242.0,0.0,0.0,1.0,26.0,10.0,7.0,40.0,16.0,6.0,19.0,1.0,27.0,9.0,26.0,70.0
2023_07,1,47.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,4.0,1.0,4.0,1.0,9.0,0.0,0.0,9.0
2023_08,1,75.0,1.0,1.0,1.0,9.0,2.0,1.0,9.0,11.0,1.0,14.0,1.0,8.0,0.0,10.0,39.0
2023_09,1,217.0,1.0,1.0,1.0,5.0,2.0,11.0,131.0,28.0,13.0,27.0,1.0,95.0,1.0,6.0,48.0
2023_10,1,44.0,1.0,1.0,1.0,3.0,1.0,3.0,19.0,4.0,1.0,5.0,1.0,16.0,0.0,3.0,22.0
2023_11,1,87.0,0.0,0.0,2.0,3.0,2.0,1.0,19.0,6.0,2.0,10.0,1.0,17.0,0.0,3.0,27.0
2023_12,1,54.0,0.0,0.0,1.0,9.0,5.0,1.0,16.0,4.0,0.0,2.0,1.0,14.0,2.0,11.0,26.0
2023_13,1,74.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,13.0,4.0,17.0,2.0,1.0,1.0,9.0,46.0
2023_14,1,43.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,8.0,3.0,10.0,1.0,14.0,0.0,2.0,16.0
2023_15,1,74.0,1.0,1.0,1.0,16.0,5.0,1.0,10.0,12.0,1.0,13.0,1.0,10.0,1.0,12.0,51.0
2023_16,1,71.0,1.0,1.0,1.0,8.0,5.0,0.0,15.0,12.0,3.0,13.0,1.0,14.0,4.0,12.0,43.0
2023_17,1,135.0,1.0,0.0,1.0,3.0,0.0,6.0,87.0,30.0,11.0,32.0,1.0,50.0,0.0,4.0,44.0
2023_18,1,79.0,0.0,0.0,1.0,3.0,2.0,4.0,44.0,12.0,1.0,13.0,1.0,33.0,4.0,7.0,25.0
2023_19,1,96.0,1.0,1.0,2.0,17.0,7.0,0.0,9.0,11.0,0.0,12.0,1.0,9.0,4.0,24.0,60.0
2023_20,1,51.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,24.0
2023_21,1,73.0,2.0,1.0,1.0,11.0,2.0,0.0,16.0,8.0,2.0,8.0,1.0,15.0,3.0,17.0,39.0
2023_22,1,65.0,0.0,0.0,1.0,1.0,1.0,1.0,33.0,18.0,1.0,20.0,1.0,32.0,0.0,1.0,28.0
2024_01,1,69.0,0.0,0.0,1.0,3.0,2.0,1.0,21.0,2.0,0.0,4.0,1.0,20.0,1.0,4.0,16.0
2024_02,1,66.0,1.0,0.0,1.0,3.0,1.0,1.0,16.0,12.0,3.0,15.0,1.0,16.0,0.0,4.0,29.0
