race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2011_15,buemi,5,2,0.4,5.0,1.0,2,13.6,17.6,8,23,49.2,1
2011_16,vettel,5,5,1.0,108.0,21.6,5,1.6,1.0,1,3,56.2,0
2011_16,hamilton,5,4,0.8,44.0,8.8,4,8.0,2.6,4,22,49.8,1
2011_16,webber,5,4,0.8,55.0,11.0,4,6.8,4.4,2,20,46.4,1
2011_16,button,5,5,1.0,101.0,20.2,5,1.8,4.8,1,3,56.2,0
2011_16,alonso,5,5,1.0,72.0,14.4,5,3.2,5.4,2,4,56.2,0
2011_16,massa,5,5,1.0,28.0,5.6,5,7.2,4.8,6,9,56.0,0
2011_16,alguersuari,5,2,0.4,7.0,1.4,2,15.4,14.4,7,24,46.0,2
2011_16,rosberg,5,4,0.8,17.0,3.4,4,11.0,10.2,6,23,45.2,1
2011_16,buemi,5,2,0.4,5.0,1.0,2,15.4,15.8,8,24,39.6,2
2011_16,resta,5,3,0.6,18.0,3.6,3,8.8,12.2,6,12,55.8,0
2011_16,sutil,5,2,0.4,10.0,2.0,2,11.8,11.0,7,19,46.8,1
2011_16,barrichello,5,0,0.0,0.0,0.0,0,14.2,13.4,12,17,55.2,0
2011_16,bruno_senna,4,1,0.25,2.0,0.5,1,13.25,10.25,9,16,52.0,0
2011_16,kovalainen,5,0,0.0,0.0,0.0,0,16.6,18.2,13,21,52.2,1
2011_16,kobayashi,5,0,0.0,0.0,0.0,0,13.6,13.2,11,18,49.2,1
2011_16,perez,5,2,0.4,5.0,1.0,2,14.0,12.4,8,20,48.0,2
2011_16,trulli,5,0,0.0,0.0,0.0,0,18.6,19.0,14,24,42.2,2
2011_16,glock,5,0,0.0,0.0,0.0,0,18.8,20.4,15,24,44.0,1
2011_16,ricciardo,5,0,0.0,0.0,0.0,0,19.2,22.6,16,22,45.2,1
2011_16,ambrosio,5,0,0.0,0.0,0.0,0,19.2,21.6,17,21,43.8,1
2011_16,liuzzi,5,0,0.0,0.0,0.0,0,21.2,23.0,19,24,43.0,1
2011_16,maldonado,5,1,0.2,1.0,0.2,1,12.4,15.8,10,16,55.4,0
2011_16,petrov,5,2,0.4,4.0,0.8,2,13.8,11.4,9,22,45.0,1
2011_16,michael_schumacher,5,3,0.6,28.0,5.6,3,12.2,11.4,5,23,40.8,2
2011_17,vettel,5,5,1.0,115.0,23.0,5,1.4,1.2,1,3,53.2,0
2011_17,button,5,5,1.0,88.0,17.6,5,2.4,4.8,1,4,53.2,0
2011_17,alonso,5,5,1.0,67.0,13.4,5,3.6,5.6,2,5,53.2,0
2011_17,webber,5,4,0.8,60.0,12.0,4,6.4,4.0,2,20,43.4,1
2011_17,michael_schumacher,5,3,0.6,28.0,5.6,3,12.6,12.0,5,24,38.6,2
2011_17,rosberg,5,4,0.8,19.0,3.8,4,10.8,10.2,6,23,42.4,1
2011_17,hamilton,5,4,0.8,50.0,10.0,4,7.6,2.4,2,22,46.8,1
2011_17,alguersuari,5,2,0.4,12.0,2.4,2,14.8,13.4,7,24,43.2,2
2011_17,sutil,5,2,0.4,10.0,2.0,2,11.2,11.4,7,19,44.2,1
2011_17,perez,5,2,0.4,5.0,1.0,2,14.2,13.8,8,20,45.2,2
2011_17,petrov,5,2,0.4,4.0,0.8,2,16.0,10.6,9,23,34.4,2
2011_17,bruno_senna,5,1,0.2,2.0,0.4,1,13.2,11.2,9,16,52.4,0
2011_17,resta,5,3,0.6,13.0,2.6,3,9.4,11.8,6,12,53.0,0
2011_17,kovalainen,5,0,0.0,0.0,0.0,0,15.2,18.4,13,18,52.0,0
2011_17,barrichello,5,0,0.0,0.0,0.0,0,14.0,14.0,12,17,52.6,0
2011_17,ambrosio,5,0,0.0,0.0,0.0,0,19.4,21.2,17,21,41.6,1
2011_17,karthikeyan,5,0,0.0,0.0,0.0,0,20.0,22.4,17,24,62.6,0
2011_17,ricciardo,5,0,0.0,0.0,0.0,0,19.4,23.0,16,22,42.8,1
2011_17,trulli,5,0,0.0,0.0,0.0,0,17.2,19.2,14,22,49.6,1
2011_17,massa,5,5,1.0,28.0,5.6,5,7.2,5.0,6,9,53.0,0
2011_17,buemi,5,2,0.4,3.0,0.6,2,15.6,13.8,9,24,36.8,2
2011_17,maldonado,5,1,0.2,1.0,0.2,1,13.6,15.6,10,22,47.8,1
2011_17,glock,5,0,0.0,0.0,0.0,0,19.0,20.6,15,24,41.6,1
2011_17,kobayashi,5,0,0.0,0.0,0.0,0,14.4,13.4,12,18,46.2,1
2011_18,hamilton,5,5,1.0,56.0,11.2,5,4.6,3.0,2,7,56.4,0
2011_18,alonso,5,5,1.0,70.0,14.0,5,3.4,4.6,2,5,56.4,0
2011_18,button,5,5,1.0,91.0,18.2,5,2.2,3.0,1,4,56.4,0
2011_18,webber,5,4,0.8,54.0,10.8,4,6.8,3.8,3,20,46.6,1
2011_18,massa,5,4,0.8,24.0,4.8,4,9.6,5.4,6,20,50.6,1
2011_18,rosberg,5,4,0.8,19.0,3.8,4,10.8,10.6,6,23,45.6,1
2011_18,michael_schumacher,5,3,0.6,28.0,5.6,3,12.6,9.4,5,24,41.8,2
2011_18,sutil,5,2,0.4,6.0,1.2,2,11.6,10.0,8,19,47.2,1
2011_18,resta,5,3,0.6,13.0,2.6,3,9.8,10.8,6,13,56.0,0
2011_18,kobayashi,5,0,0.0,0.0,0.0,0,16.8,14.4,13,24,37.4,2
2011_18,perez,5,3,0.6,6.0,1.2,3,12.2,16.0,8,17,51.6,1
2011_18,barrichello,5,0,0.0,0.0,0.0,0,13.8,14.2,12,17,55.6,0
2011_18,petrov,5,1,0.2,2.0,0.4,1,16.4,11.8,9,23,37.4,2
2011_18,maldonado,5,0,0.0,0.0,0.0,0,16.0,14.0,11,22,41.4,2
2011_18,alguersuari,5,3,0.6,16.0,3.2,3,11.6,14.2,7,21,55.0,1
2011_18,bruno_senna,5,1,0.2,2.0,0.4,1,13.0,12.6,9,16,55.4,0
2011_18,kovalainen,5,0,0.0,0.0,0.0,0,15.0,18.8,13,18,55.0,0
2011_18,trulli,5,0,0.0,0.0,0.0,0,18.2,19.4,14,22,52.0,1
2011_18,glock,5,0,0.0,0.0,0.0,0,20.0,21.2,15,24,33.4,2
2011_18,liuzzi,5,0,0.0,0.0,0.0,0,21.4,23.4,19,24,40.4,1
2011_18,ricciardo,5,0,0.0,0.0,0.0,0,18.8,23.0,16,22,51.6,0
2011_18,buemi,5,2,0.4,3.0,0.6,2,15.2,13.4,9,24,40.4,2
2011_18,ambrosio,5,0,0.0,0.0,0.0,0,19.2,21.4,16,21,44.4,1
2011_18,vettel,5,5,1.0,115.0,23.0,5,1.4,1.2,1,3,56.4,0
2011_19,webber,5,5,1.0,66.0,13.2,5,3.6,3.6,3,4,56.8,0
2011_19,vettel,5,4,0.8,90.0,18.0,4,6.0,1.2,1,24,46.0,1
2011_19,button,5,5,1.0,88.0,17.6,5,2.4,3.0,1,4,56.8,0
2011_19,alonso,5,5,1.0,73.0,14.6,5,3.2,4.8,2,5,56.8,0
2011_19,massa,5,4,0.8,26.0,5.2,4,9.4,5.4,5,20,51.0,1
2011_19,sutil,5,3,0.6,10.0,2.0,3,9.4,9.4,8,11,56.4,0
2011_19,rosberg,5,5,1.0,27.0,5.4,5,7.4,10.2,6,10,56.6,0
2011_19,resta,5,3,0.6,11.0,2.2,3,10.0,10.6,6,13,56.6,0
2011_19,kobayashi,5,1,0.2,1.0,0.2,1,15.2,14.2,10,24,44.0,1
2011_19,petrov,5,1,0.2,2.0,0.4,1,14.6,12.8,9,23,48.2,1
2011_19,alguersuari,5,2,0.4,10.0,2.0,2,13.2,13.6,7,21,55.4,1
2011_19,buemi,5,1,0.2,2.0,0.4,1,17.6,12.8,9,24,33.8,3
2011_19,perez,5,3,0.6,6.0,1.2,3,11.0,15.2,8,16,56.0,0
2011_19,barrichello,5,0,0.0,0.0,0.0,0,13.8,16.4,12,17,56.0,0
2011_19,michael_schumacher,5,3,0.6,24.0,4.8,3,13.0,9.4,5,24,42.2,2
2011_19,kovalainen,5,0,0.0,0.0,0.0,0,15.8,18.2,14,18,55.6,0
2011_19,bruno_senna,5,0,0.0,0.0,0.0,0,14.4,13.4,12,16,55.8,0
2011_19,trulli,5,0,0.0,0.0,0.0,0,19.0,19.2,17,22,52.4,1
2011_19,ambrosio,5,0,0.0,0.0,0.0,0,19.6,21.2,16,23,47.8,1
2011_19,ricciardo,5,0,0.0,0.0,0.0,0,19.8,22.4,18,22,53.4,1
2011_19,liuzzi,5,0,0.0,0.0,0.0,0,21.6,23.4,20,24,42.4,1
2011_19,hamilton,5,5,1.0,69.0,13.8,5,4.0,3.0,1,7,56.8,0
2011_19,maldonado,5,0,0.0,0.0,0.0,0,16.6,15.8,11,22,41.8,2
2011_19,glock,5,0,0.0,0.0,0.0,0,20.8,20.8,18,24,33.8,2
2012_01,button,5,5,1.0,85.0,17.0,5,2.6,3.0,1,4,58.8,0
2012_01,vettel,5,4,0.8,83.0,16.6,4,6.2,1.2,1,24,48.0,1
2012_01,hamilton,5,4,0.8,59.0,11.8,4,7.4,3.0,1,22,53.8,1
2012_01,webber,5,5,1.0,76.0,15.2,5,3.2,3.6,1,4,58.8,0
2012_01,alonso,5,5,1.0,73.0,14.6,5,3.2,4.8,2,5,58.8,0
2012_01,kobayashi,5,2,0.4,3.0,0.6,2,14.2,14.0,9,24,46.2,1
2012_01,raikkonen,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2012_01,perez,5,2,0.4,5.0,1.0,2,11.6,16.4,8,16,58.0,0
2012_01,ricciardo,5,0,0.0,0.0,0.0,0,20.0,22.2,18,22,55.6,1
2012_01,resta,5,3,0.6,7.0,1.4,3,10.4,10.8,8,13,58.4,0
2012_01,vergne,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2012_01,rosberg,5,5,1.0,27.0,5.4,5,7.4,10.0,6,10,58.6,0
2012_01,maldonado,5,0,0.0,0.0,0.0,0,19.0,16.8,14,23,35.0,3
2012_01,glock,5,0,0.0,0.0,0.0,0,20.8,21.4,18,24,36.2,2
2012_01,pic,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2012_01,bruno_senna,5,0,0.0,0.0,0.0,0,14.8,12.2,12,17,57.8,0
2012_01,massa,5,4,0.8,34.0,6.8,4,8.6,5.6,5,20,53.2,1
2012_01,kovalainen,5,0,0.0,0.0,0.0,0,15.8,18.2,14,18,57.6,0
2012_01,petrov,5,2,0.4,3.0,0.6,2,13.2,12.2,9,23,50.4,1
2012_01,michael_schumacher,5,3,0.6,24.0,4.8,3,11.4,9.8,5,24,50.6,1
2012_01,grosjean,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2012_01,hulkenberg,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2012_02,alonso,5,5,1.0,65.0,13.0,5,3.8,6.2,2,5,59.8,0
2012_02,perez,5,2,0.4,5.0,1.0,2,11.6,17.4,8,16,59.0,0
2012_02,hamilton,5,4,0.8,64.0,12.8,4,7.0,2.6,1,22,54.8,1
2012_02,webber,5,5,1.0,76.0,15.2,5,3.2,3.4,1,4,59.8,0
2012_02,raikkonen,1,1,1.0,6.0,6.0,1,7.0,17.0,7,7,58.0,0
2012_02,bruno_senna,5,0,0.0,0.0,0.0,0,14.8,13.2,12,17,57.6,1
2012_02,resta,5,4,0.8,8.0,1.6,4,10.0,11.4,8,13,59.4,0
2012_02,vergne,1,0,0.0,0.0,0.0,0,11.0,11.0,11,11,58.0,0
2012_02,hulkenberg,1,0,0.0,0.0,0.0,0,22.0,9.0,22,22,0.0,1
2012_02,michael_schumacher,5,2,0.4,16.0,3.2,2,14.2,9.0,5,24,42.0,2
2012_02,vettel,5,4,0.8,86.0,17.2,4,6.0,2.2,1,24,49.0,1
2012_02,ricciardo,5,1,0.2,2.0,0.4,1,17.4,19.8,9,21,57.0,1
2012_02,rosberg,5,4,0.8,26.0,5.2,4,7.8,6.8,6,12,59.6,0
