race_id,driver_id,telemetry_races_previous_3,avg_speed_previous_3_races,max_speed_previous_3_races,avg_throttle_previous_3_races,avg_brake_previous_3_races,avg_drs_previous_3_races,drs_usage_rate_previous_3_races,avg_distance_previous_3_races
2011_03,liuzzi,1,187.332,187.332,0.0,0.0,0.0,0.0,46.0
2011_03,karthikeyan,1,182.427,182.427,0.0,0.0,0.0,0.0,14.0
2011_03,alguersuari,2,201.6855,211.025,0.0,0.0,0.0,0.0,56.0
2011_04,vettel,3,200.896,212.488,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,webber,3,203.23766666666666,213.066,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,alonso,3,201.2396666666667,213.336,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,hamilton,3,201.12699999999998,211.382,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,rosberg,3,198.06966666666668,204.173,0.0,0.0,0.0,0.0,44.333333333333336
2011_04,button,3,201.4913333333333,212.396,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,heidfeld,3,198.26466666666667,206.661,0.0,0.0,0.0,0.0,56.333333333333336
2011_04,petrov,3,201.07566666666665,211.969,0.0,0.0,0.0,0.0,55.333333333333336
2011_04,buemi,3,199.16966666666667,210.167,0.0,0.0,0.0,0.0,56.0
2011_04,kobayashi,3,199.32566666666665,211.218,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,massa,3,201.08833333333337,214.631,0.0,0.0,0.0,0.0,56.666666666666664
2011_04,michael_schumacher,3,196.287,200.283,0.0,0.0,0.0,0.0,43.666666666666664
2011_04,sutil,3,198.78666666666666,208.583,0.0,0.0,0.0,0.0,55.666666666666664
2011_04,perez,3,199.48299999999998,212.209,0.0,0.0,0.0,0.0,45.333333333333336
2011_04,barrichello,3,196.7686666666667,208.861,0.0,0.0,0.0,0.0,42.0
2011_04,alguersuari,3,196.34133333333332,211.025,0.0,0.0,0.0,0.0,40.333333333333336
2011_04,maldonado,3,194.87666666666667,202.873,0.0,0.0,0.0,0.0,24.0
2011_04,trulli,3,196.035,206.275,0.0,0.0,0.0,0.0,47.333333333333336
2011_04,kovalainen,3,194.9093333333333,201.129,0.0,0.0,0.0,0.0,43.0
2011_04,ambrosio,3,192.87566666666666,201.969,0.0,0.0,0.0,0.0,50.0
2011_04,karthikeyan,2,183.7065,184.986,0.0,0.0,0.0,0.0,34.0
2011_04,liuzzi,2,188.572,189.812,0.0,0.0,0.0,0.0,50.0
2011_04,resta,3,197.6113333333333,207.641,0.0,0.0,0.0,0.0,56.333333333333336
2011_04,glock,3,192.23333333333335,199.3,0.0,0.0,0.0,0.0,52.333333333333336
2011_05,vettel,3,201.28966666666668,213.669,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,hamilton,3,201.75433333333334,213.264,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,button,3,200.95466666666667,210.786,0.0,0.0,0.0,0.0,56.666666666666664
