race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_04,rosberg,3,22.746,20.72,24.967,7,52.42733333333333,10.666666666666666
2011_04,button,3,21.775444444444446,16.867,23.779,9,65.32633333333332,15.333333333333334
2011_04,heidfeld,3,23.10183333333333,21.821,25.098,7,53.95066666666667,10.0
2011_04,petrov,3,23.98466666666667,21.981,28.694,7,56.25333333333333,12.666666666666666
2011_04,buemi,3,24.65388888888889,21.928,29.843,8,65.88799999999999,15.666666666666666
2011_04,kobayashi,3,23.12816666666667,21.855,24.192,6,46.25633333333334,6.666666666666667
2011_04,massa,3,23.47588888888889,21.168,29.224,8,63.29566666666667,12.666666666666666
2011_04,michael_schumacher,3,22.718166666666665,20.522,25.021,8,59.986333333333334,12.0
2011_04,sutil,3,24.6465,20.989,31.694,8,65.63133333333333,17.0
2011_04,perez,3,22.979583333333334,13.9,28.845,6,44.883333333333326,8.666666666666666
2011_04,barrichello,3,25.503333333333334,16.892,37.856,8,68.45666666666666,11.0
2011_04,alguersuari,3,23.852666666666668,22.419,26.898,6,48.866666666666674,8.0
2011_04,maldonado,3,24.280666666666665,22.062,27.62,3,72.842,22.0
2011_04,trulli,3,24.344666666666665,22.26,25.516,5,40.184000000000005,8.666666666666666
2011_04,kovalainen,3,24.420833333333334,21.89,29.084,5,40.553333333333335,7.333333333333333
2011_04,ambrosio,3,24.679333333333332,22.802,26.446,6,49.358666666666664,11.333333333333334
2011_04,karthikeyan,2,26.049,26.049,26.049,1,26.049,2.0
2011_04,liuzzi,2,25.886333333333333,14.16,38.823,6,77.659,18.0
2011_04,resta,3,23.08577777777778,21.218,24.863,7,53.857,9.333333333333334
2011_04,glock,3,24.81811111111111,21.908,33.827,6,50.41866666666667,10.333333333333334
2011_05,vettel,3,21.52486111111111,20.112,23.019,9,64.12066666666668,8.666666666666666
2011_05,hamilton,3,22.94044444444444,20.533,35.688,11,84.87533333333333,18.666666666666668
2011_05,button,3,22.061333333333337,20.758,23.779,9,66.184,11.0
2011_05,webber,3,21.728944444444448,20.421,23.442,11,79.61966666666667,16.666666666666668
2011_05,alonso,3,22.642583333333334,21.251,27.182,10,75.97866666666667,14.666666666666666
2011_05,michael_schumacher,3,22.22208333333333,20.379,30.182,10,74.33833333333332,15.0
2011_05,rosberg,3,21.903750000000002,20.308,24.967,10,72.77433333333333,14.666666666666666
2011_05,heidfeld,3,22.33441666666667,20.872,23.9,9,66.91166666666668,13.333333333333334
2011_05,perez,3,23.18733333333333,13.9,29.27,9,69.15233333333333,15.333333333333334
2011_05,kobayashi,3,22.611166666666666,21.82,23.455,7,52.748,6.333333333333333
