race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2011_06,buemi,12,6.0,0,6.0
2011_06,rosberg,6,26.0,0,26.0
2011_06,resta,14,2.0,0,2.0
2011_06,trulli,24,0.0,0,0.0
2011_06,kovalainen,21,0.0,0,0.0
2011_06,ambrosio,17,0.0,0,0.0
2011_06,liuzzi,22,0.0,0,0.0
2011_06,karthikeyan,20,0.0,0,0.0
2011_06,maldonado,23,0.0,0,0.0
2011_06,petrov,9,21.0,0,21.0
2011_06,alguersuari,16,0.0,0,0.0
2011_06,massa,8,24.0,0,24.0
2011_06,michael_schumacher,10,14.0,0,14.0
2011_06,glock,19,0.0,0,0.0
2011_06,perez,13,2.0,0,2.0
2011_07,button,4,76.0,0,76.0
2011_07,vettel,1,143.0,5,193.0
2011_07,webber,3,79.0,0,79.0
2011_07,michael_schumacher,11,14.0,0,14.0
2011_07,petrov,9,21.0,0,21.0
2011_07,massa,8,24.0,0,24.0
2011_07,kobayashi,10,19.0,0,19.0
2011_07,alguersuari,17,0.0,0,0.0
2011_07,barrichello,14,2.0,0,2.0
2011_07,buemi,13,7.0,0,7.0
2011_07,rosberg,7,26.0,0,26.0
2011_07,rosa,24,0.0,0,0.0
2011_07,liuzzi,22,0.0,0,0.0
2011_07,ambrosio,18,0.0,0,0.0
2011_07,glock,19,0.0,0,0.0
2011_07,trulli,25,0.0,0,0.0
2011_07,karthikeyan,20,0.0,0,0.0
2011_07,resta,16,2.0,0,2.0
2011_07,maldonado,23,0.0,0,0.0
2011_07,heidfeld,6,29.0,0,29.0
2011_07,sutil,12,8.0,0,8.0
2011_07,alonso,5,69.0,0,69.0
2011_07,kovalainen,21,0.0,0,0.0
2011_07,hamilton,2,85.0,1,95.0
2011_08,vettel,1,161.0,5,211.0
2011_08,alonso,5,69.0,0,69.0
2011_08,webber,3,94.0,0,94.0
2011_08,hamilton,4,85.0,1,95.0
2011_08,massa,6,32.0,0,32.0
2011_08,button,2,101.0,1,111.0
2011_08,rosberg,10,26.0,0,26.0
2011_08,alguersuari,14,4.0,0,4.0
2011_08,sutil,13,8.0,0,8.0
2011_08,heidfeld,8,29.0,0,29.0
2011_08,perez,16,2.0,0,2.0
2011_08,barrichello,15,4.0,0,4.0
2011_08,buemi,12,8.0,0,8.0
2011_08,resta,17,2.0,0,2.0
2011_08,petrov,7,31.0,0,31.0
2011_08,kobayashi,11,25.0,0,25.0
2011_08,michael_schumacher,9,26.0,0,26.0
2011_08,maldonado,23,0.0,0,0.0
2011_08,kovalainen,21,0.0,0,0.0
2011_08,trulli,25,0.0,0,0.0
2011_08,glock,19,0.0,0,0.0
2011_08,ambrosio,18,0.0,0,0.0
2011_08,liuzzi,22,0.0,0,0.0
2011_08,karthikeyan,20,0.0,0,0.0
2011_09,alonso,5,87.0,0,87.0
2011_09,vettel,1,186.0,6,246.0
2011_09,webber,3,109.0,0,109.0
2011_09,hamilton,4,97.0,1,107.0
2011_09,massa,6,42.0,0,42.0
2011_09,rosberg,7,32.0,0,32.0
2011_09,perez,16,2.0,0,2.0
2011_09,heidfeld,9,30.0,0,30.0
2011_09,michael_schumacher,10,26.0,0,26.0
2011_09,alguersuari,13,8.0,0,8.0
2011_09,sutil,12,10.0,0,10.0
2011_09,petrov,8,31.0,0,31.0
2011_09,barrichello,15,4.0,0,4.0
2011_09,maldonado,23,0.0,0,0.0
2011_09,resta,17,2.0,0,2.0
2011_09,glock,19,0.0,0,0.0
2011_09,ambrosio,18,0.0,0,0.0
2011_09,liuzzi,22,0.0,0,0.0
2011_09,ricciardo,24,0.0,0,0.0
2011_09,button,2,109.0,1,119.0
2011_09,buemi,14,8.0,0,8.0
2011_09,kobayashi,11,25.0,0,25.0
2011_09,trulli,26,0.0,0,0.0
2011_09,kovalainen,21,0.0,0,0.0
2011_10,hamilton,5,109.0,1,119.0
2011_10,alonso,3,112.0,1,122.0
2011_10,webber,2,124.0,0,124.0
2011_10,vettel,1,204.0,6,264.0
2011_10,massa,6,52.0,0,52.0
2011_10,sutil,12,10.0,0,10.0
2011_10,rosberg,7,40.0,0,40.0
2011_10,michael_schumacher,10,28.0,0,28.0
2011_10,kobayashi,11,25.0,0,25.0
2011_10,petrov,9,31.0,0,31.0
2011_10,perez,15,8.0,0,8.0
2011_10,alguersuari,13,9.0,0,9.0
2011_10,resta,17,2.0,0,2.0
2011_10,maldonado,24,0.0,0,0.0
2011_10,buemi,14,8.0,0,8.0
2011_10,kovalainen,22,0.0,0,0.0
2011_10,glock,20,0.0,0,0.0
2011_10,ambrosio,18,0.0,0,0.0
2011_10,ricciardo,25,0.0,0,0.0
2011_10,chandhok,19,0.0,0,0.0
2011_10,liuzzi,23,0.0,0,0.0
2011_10,button,4,109.0,1,119.0
2011_10,barrichello,16,4.0,0,4.0
2011_10,heidfeld,8,34.0,0,34.0
2011_11,button,5,109.0,1,119.0
2011_11,vettel,1,216.0,6,276.0
2011_11,alonso,4,130.0,1,140.0
2011_11,hamilton,3,134.0,2,154.0
2011_11,webber,2,139.0,0,139.0
2011_11,massa,6,62.0,0,62.0
2011_11,resta,17,2.0,0,2.0
2011_11,buemi,14,8.0,0,8.0
2011_11,rosberg,7,46.0,0,46.0
2011_11,alguersuari,13,9.0,0,9.0
2011_11,kobayashi,11,27.0,0,27.0
2011_11,petrov,10,32.0,0,32.0
2011_11,barrichello,16,4.0,0,4.0
2011_11,sutil,12,18.0,0,18.0
2011_11,perez,15,8.0,0,8.0
2011_11,maldonado,24,0.0,0,0.0
2011_11,glock,20,0.0,0,0.0
2011_11,ricciardo,25,0.0,0,0.0
2011_11,ambrosio,18,0.0,0,0.0
2011_11,liuzzi,23,0.0,0,0.0
2011_11,kovalainen,22,0.0,0,0.0
2011_11,michael_schumacher,9,32.0,0,32.0
2011_11,heidfeld,8,34.0,0,34.0
2011_11,trulli,27,0.0,0,0.0
2011_12,vettel,1,234.0,6,294.0
2011_12,webber,2,149.0,0,149.0
2011_12,button,5,134.0,2,154.0
2011_12,alonso,4,145.0,1,155.0
2011_12,michael_schumacher,9,32.0,0,32.0
2011_12,rosberg,7,48.0,0,48.0
2011_12,sutil,12,18.0,0,18.0
2011_12,massa,6,70.0,0,70.0
2011_12,petrov,10,32.0,0,32.0
2011_12,maldonado,25,0.0,0,0.0
2011_12,resta,16,8.0,0,8.0
2011_12,kobayashi,11,27.0,0,27.0
2011_12,bruno_senna,19,0.0,0,0.0
2011_12,trulli,28,0.0,0,0.0
2011_12,kovalainen,23,0.0,0,0.0
2011_12,barrichello,17,4.0,0,4.0
2011_12,ambrosio,18,0.0,0,0.0
2011_12,glock,21,0.0,0,0.0
2011_12,liuzzi,24,0.0,0,0.0
2011_12,perez,15,8.0,0,8.0
2011_12,ricciardo,26,0.0,0,0.0
2011_12,hamilton,3,146.0,2,166.0
2011_12,buemi,13,12.0,0,12.0
2011_12,alguersuari,14,10.0,0,10.0
2011_13,vettel,1,259.0,7,329.0
2011_13,button,4,149.0,2,169.0
2011_13,alonso,3,157.0,1,167.0
2011_13,hamilton,5,146.0,2,166.0
2011_13,michael_schumacher,8,42.0,0,42.0
2011_13,massa,6,74.0,0,74.0
2011_13,alguersuari,14,10.0,0,10.0
2011_13,resta,16,8.0,0,8.0
2011_13,bruno_senna,20,0.0,0,0.0
2011_13,buemi,13,12.0,0,12.0
2011_13,maldonado,18,1.0,0,1.0
2011_13,barrichello,17,4.0,0,4.0
2011_13,kovalainen,24,0.0,0,0.0
2011_13,trulli,28,0.0,0,0.0
2011_13,glock,22,0.0,0,0.0
2011_13,ricciardo,26,0.0,0,0.0
2011_13,perez,15,8.0,0,8.0
2011_13,kobayashi,11,27.0,0,27.0
2011_13,sutil,12,24.0,0,24.0
2011_13,webber,2,167.0,0,167.0
2011_13,ambrosio,19,0.0,0,0.0
2011_13,petrov,10,34.0,0,34.0
2011_13,rosberg,7,56.0,0,56.0
2011_13,liuzzi,25,0.0,0,0.0
2011_14,vettel,1,284.0,8,364.0
2011_14,button,3,167.0,2,187.0
2011_14,webber,4,167.0,0,167.0
2011_14,alonso,2,172.0,1,182.0
2011_14,hamilton,5,158.0,2,178.0
2011_14,resta,15,12.0,0,12.0
2011_14,rosberg,7,56.0,0,56.0
2011_14,sutil,12,24.0,0,24.0
2011_14,massa,6,82.0,0,82.0
2011_14,perez,16,8.0,0,8.0
2011_14,maldonado,19,1.0,0,1.0
2011_14,buemi,14,13.0,0,13.0
