model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
random_forest,6432,479,2010,2024,2025,0.7682672233820459,0.7529411764705882,0.8,0.7757575757575758,0.8423465829846584,0.775,0.041666666666666664
hist_gradient_boosting,6432,479,2010,2024,2025,0.7682672233820459,0.7676348547717843,0.7708333333333334,0.7692307692307693,0.8347803347280336,0.7708333333333334,0.08333333333333333
extra_trees,6432,479,2010,2024,2025,0.7515657620041754,0.7391304347826086,0.7791666666666667,0.7586206896551724,0.8356868898186891,0.7708333333333334,0.041666666666666664
neural_network_mlp,6432,479,2010,2024,2025,0.7703549060542797,0.8095238095238095,0.7083333333333334,0.7555555555555555,0.8277719665271965,0.7583333333333334,0.0
logistic_regression,6432,479,2010,2024,2025,0.7390396659707724,0.8362573099415205,0.5958333333333333,0.6958637469586375,0.8203626220362623,0.75,0.041666666666666664
