x,y,z,cluster,top10_probability,target,season,round,race_id,grand_prix,driver_id,driver_code,constructor_name,grid,final_position
-1.6486686672692463,0.9533139985584113,-0.788584979641683,3,0.24171962540160227,0,2010,1,2010_01,Bahrain Grand Prix,alguersuari,ALG,Toro Rosso,18,13
-1.1872943938937288,1.107169815892964,-1.0111897645223162,3,0.41161036122470634,0,2010,1,2010_01,Bahrain Grand Prix,buemi,BUE,Toro Rosso,15,16
-2.4929024987026103,-0.056768708086051056,-0.5190159759037559,6,0.04227006606242857,0,2010,1,2010_01,Bahrain Grand Prix,chandhok,CHA,HRT,24,24
-1.9309953821382175,0.3781624145358404,-0.6030522890787013,3,0.09726380025816266,0,2010,1,2010_01,Bahrain Grand Prix,glock,GLO,Virgin,19,20
-2.36610803390856,-0.05676582507353922,-0.6010023102035406,6,0.046821891428941845,0,2010,1,2010_01,Bahrain Grand Prix,kovalainen,KOV,Lotus,21,15
-0.679357375046014,1.165257128046465,-0.6486979716280679,3,0.4926866793974539,1,2010,1,2010_01,Bahrain Grand Prix,liuzzi,LIU,Force India,12,9
-0.9905292992702215,0.6740556010148733,-0.5774067811846167,3,0.31028266896233525,0,2010,1,2010_01,Bahrain Grand Prix,rosa,DLR,Sauber,14,18
-1.045469693651517,1.8119154729723954,-0.8419072321048696,3,0.40543048202981946,1,2010,2,2010_02,Australian Grand Prix,barrichello,BAR,Williams,8,8
-3.1585364457696,-0.4438976736592859,-1.159710712864747,6,0.024286033922275435,0,2010,2,2010_02,Australian Grand Prix,bruno_senna,SEN,HRT,21,20
-2.478527879430317,1.1342024905536907,-1.5515859187300496,3,0.19419930103384261,0,2010,2,2010_02,Australian Grand Prix,buemi,BUE,Toro Rosso,12,21
0.15676317740026408,2.4992255191564583,-1.1387903698562793,3,0.7775409485547459,1,2010,2,2010_02,Australian Grand Prix,button,BUT,McLaren,4,1
-3.0718080602517475,-1.1543658833841006,-1.1462463056918255,6,0.015486670539684574,0,2010,2,2010_02,Australian Grand Prix,chandhok,CHA,HRT,22,14
-3.227188656946185,-0.6177135676427655,-1.205068899387105,6,0.018371870464796977,0,2010,2,2010_02,Australian Grand Prix,grassi,DIG,Virgin,24,16
-0.14973466816227265,2.4915951269236123,-1.5497208730420926,3,0.6981744209668572,1,2010,2,2010_02,Australian Grand Prix,hamilton,HAM,McLaren,11,6
-2.113048216898266,0.9065316769969486,-1.4863117930869538,3,0.15999974219418525,0,2010,2,2010_02,Australian Grand Prix,hulkenberg,HUL,Williams,15,22
-1.2977665400725114,1.793818181317268,-1.0825082509848132,3,0.4774730123525394,1,2010,2,2010_02,Australian Grand Prix,kubica,KUB,Renault,9,2
-1.5502496385918847,1.6031624181440942,-1.102285059994593,3,0.30157773113805697,1,2010,2,2010_02,Australian Grand Prix,liuzzi,LIU,Force India,13,7
0.45559030853642934,2.6369544581009703,-1.1076208000743104,3,0.8516502507082157,1,2010,2,2010_02,Australian Grand Prix,massa,MAS,Ferrari,5,3
