config_name,hidden_layer_sizes,activation,alpha,learning_rate_init,batch_size,n_iter,best_validation_score,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
mlp_80_40_tanh,"(80, 40)",tanh,0.002,0.0007,64,41,0.7761658031088083,6432,479,2010,2024,2025,0.7578288100208769,0.7844036697247706,0.7125,0.7467248908296943,0.8226813110181312,0.775,0.041666666666666664
mlp_128_64_32_deep,"(128, 64, 32)",relu,0.004,0.0006,64,40,0.7492227979274612,6432,479,2010,2024,2025,0.7369519832985386,0.8701298701298701,0.5583333333333333,0.6802030456852792,0.8295153417015342,0.7583333333333334,0.041666666666666664
mlp_128_64_small_lr,"(128, 64)",relu,0.002,0.0005,64,38,0.7927461139896373,6432,479,2010,2024,2025,0.732776617954071,0.8373493975903614,0.5791666666666667,0.6847290640394089,0.8229079497907951,0.7583333333333333,0.041666666666666664
mlp_64_32_baseline,"(64, 32)",relu,0.001,0.001,64,38,0.7875647668393783,6432,479,2010,2024,2025,0.7453027139874739,0.7286821705426356,0.7833333333333333,0.7550200803212851,0.8281555090655508,0.7541666666666668,0.0
mlp_96_48_regularized,"(96, 48)",relu,0.003,0.0008,64,39,0.7865284974093264,6432,479,2010,2024,2025,0.7265135699373695,0.815028901734104,0.5875,0.6828087167070218,0.8192468619246862,0.7541666666666665,0.041666666666666664
