model,train_rows,test_rows,test_season,position_mae_raw,position_rmse_raw,race_precision_at_10,all_rank_mae,actual_top10_rank_mae,predicted_top10_rank_mae,mean_spearman_by_race
hist_gradient_boosting_regressor,6432,479,2025,3.291908491711527,4.292201411191649,0.775,3.390570175438597,2.6374999999999997,3.158333333333333,0.6534147869674185
neural_network_mlp_regressor,6432,479,2025,3.3110055165112637,4.452647799971474,0.7708333333333334,3.502412280701755,2.741666666666667,3.2291666666666665,0.6416457811194652
random_forest_regressor,6432,479,2025,3.4783151449901633,4.292961412512255,0.7541666666666668,3.307017543859649,2.4250000000000003,2.9958333333333336,0.6661027568922306
